id,id_seller,id_weight,name,description,price,photo_url
1,1,1,Sotong,Accusamus doloremque soluta tempora laboriosam eos temporibus mollitia iusto soluta accusamus adipisci dolorem error fuga.,22685,https://dummyimage.com/640x480
2,2,2,Selar,Veniam id est vero debitis eos laboriosam quod.,16768,https://dummyimage.com/640x480
3,3,3,Baronang,Molestias reiciendis voluptates autem tempore maxime libero vero quaerat nihil totam.,21810,https://picsum.photos/640/480
4,4,4,Gurame,Enim exercitationem harum illum vel sequi voluptate.,30448,https://picsum.photos/640/480
5,5,5,Kepiting Bakau,Enim ipsum consectetur accusamus facere amet repudiandae accusamus dignissimos aliquid optio delectus doloribus fugiat nesciunt quos.,27893,https://placekitten.com/640/480
6,6,6,Salmon,Labore cum cupiditate a nesciunt.,22443,https://placekitten.com/640/480
7,7,7,Lele,Ad ipsam blanditiis eaque ut numquam doloremque repellat corporis facilis voluptatem laboriosam impedit placeat ex consequuntur.,19432,https://placekitten.com/640/480
8,8,8,Kerapu,Dolore asperiores maxime aut ipsum consectetur placeat voluptatibus.,18649,https://placekitten.com/640/480
9,9,9,Baronang,Nesciunt exercitationem quaerat culpa optio pariatur culpa dicta saepe dolor.,34581,https://placekitten.com/640/480
10,10,10,Teri,Cupiditate corrupti enim nisi inventore vitae accusamus.,22555,https://placekitten.com/640/480
