id,id_seller,id_weight,name,description,price,photo_url
1,1,1,Patin,Error sed mollitia expedita nulla veritatis laborum rerum quod non odio blanditiis laudantium illo deserunt fugiat minus repellat.,16608,https://placekitten.com/640/480
2,2,2,Kakap Putih,Molestias voluptatem illum perspiciatis sint dicta fugiat harum suscipit iusto tempore.,31096,https://picsum.photos/640/480
3,3,3,Cakalang,Voluptates ad vero praesentium dignissimos.,28832,https://placekitten.com/640/480
4,4,4,Rajungan,Unde sit modi odio dignissimos sapiente similique unde ipsa dolore.,19528,https://placekitten.com/640/480
5,5,5,Kembung,Modi vero unde quos veritatis provident doloremque odit quaerat.,34105,https://placekitten.com/640/480
6,6,6,Lele,Quaerat consequuntur excepturi sapiente quas facilis perferendis ipsa deleniti ad eligendi facere facere.,16514,https://dummyimage.com/640x480
7,7,7,Kepiting Bakau,Nisi consequuntur aliquam odit ipsa nostrum occaecati illum officiis dicta eius aliquid.,28690,https://picsum.photos/640/480
8,8,8,Bandeng,Cumque magnam veritatis quibusdam assumenda distinctio.,22982,https://placekitten.com/640/480
9,9,9,Cumi-cumi,Ducimus odit aliquid voluptatem a natus iure quam facere.,17878,https://dummyimage.com/640x480
10,10,10,Kerapu,Velit fugiat quas cupiditate veniam aliquam nisi officia perferendis maiores possimus officiis magni iure.,32698,https://picsum.photos/640/480
11,11,11,Kembung,Facere blanditiis deserunt qui laborum iste quia qui molestias quam nostrum ad numquam tempore eaque odit reiciendis minima.,18036,https://picsum.photos/640/480
12,12,12,Tuna,Nam fugit odio quo quo numquam dicta culpa alias velit laboriosam.,19264,https://picsum.photos/640/480
13,13,13,Udang Vaname,Quis nesciunt assumenda voluptates eum nulla est illum quo assumenda nisi.,27062,https://placekitten.com/640/480
14,14,14,Gurame,Incidunt voluptates possimus asperiores minima sequi numquam dicta iusto excepturi ipsam saepe dicta in.,31291,https://dummyimage.com/640x480
15,15,15,Kerapu,Repellendus maxime amet commodi nisi deserunt ex rerum numquam eligendi perferendis quaerat at provident.,29825,https://picsum.photos/640/480
16,16,16,Cakalang,Omnis enim consequuntur harum voluptatem itaque error cum a.,27805,https://dummyimage.com/640x480
17,17,17,Cumi-cumi,Ad laboriosam aliquid minus laboriosam enim praesentium magnam nobis voluptas nesciunt consectetur eius ipsum quos sunt.,30958,https://placekitten.com/640/480
18,18,18,Sarden,Deleniti adipisci inventore nulla sapiente necessitatibus consequatur earum laboriosam alias similique quia eveniet aperiam adipisci dolores nulla illo accusantium.,19263,https://picsum.photos/640/480
19,19,19,Rajungan,Necessitatibus ex nemo reprehenderit quasi odit quas distinctio recusandae eum asperiores.,34531,https://picsum.photos/640/480
20,20,20,Nila,Ipsum nemo praesentium nesciunt accusantium laboriosam molestias dolor.,33111,https://picsum.photos/640/480
21,21,21,Rajungan,Est quidem ipsum aperiam earum quidem quas iure non quod excepturi ullam.,18630,https://dummyimage.com/640x480
22,22,22,Bandeng,Doloremque mollitia quos quis placeat sit cum consectetur doloremque magni excepturi doloremque natus architecto officia.,34827,https://placekitten.com/640/480
23,23,23,Tuna,Molestias et iusto placeat quae eum quisquam eaque nemo.,16726,https://dummyimage.com/640x480
24,24,24,Teri,Facere magnam nemo nam suscipit totam amet quisquam distinctio tenetur nesciunt fugiat amet explicabo.,33793,https://dummyimage.com/640x480
25,25,25,Tongkol,Explicabo delectus repellendus qui laborum.,26907,https://picsum.photos/640/480
26,26,26,Selar,Est odit dignissimos nemo ea nisi maiores perspiciatis.,26825,https://picsum.photos/640/480
27,27,27,Sotong,Sit maiores exercitationem sequi fugit voluptatum minus eius dolorum consequatur voluptatibus tenetur sint cumque.,32815,https://dummyimage.com/640x480
28,28,28,Layang,Vel voluptate odio voluptatibus dicta minima totam fuga cupiditate asperiores accusantium velit odio.,34251,https://picsum.photos/640/480
29,29,29,Kembung,Sint a veniam odit necessitatibus dignissimos officiis quis laudantium corporis.,18549,https://picsum.photos/640/480
30,30,30,Rajungan,Illum tempore officia porro.,32491,https://picsum.photos/640/480
31,31,31,Tuna,Totam tenetur temporibus perspiciatis sapiente cum delectus eius aperiam pariatur.,33794,https://placekitten.com/640/480
